,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
99,Aaron Cresswell,eng ENG,DF,West Ham,29,1989,31,31,"2,727",3,0,0,0,7,0,0.10,0.00,0.10,0.10,0.10,1.2,1.2,2.0,0.04,0.06,0.10,0.04,0.10,Matches
100,Patrick Cutrone,it ITA,FW,Wolves,21,1998,12,3,297,2,0,0,0,0,0,0.61,0.00,0.61,0.61,0.61,2.4,2.4,0.0,0.73,0.01,0.74,0.73,0.74,Matches
101,Diogo Dalot,pt POR,DF,Manchester Utd,20,1999,4,1,67,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.22,0.00,0.22,0.22,0.22,Matches
102,Charlie Daniels,eng ENG,DF,Bournemouth,32,1986,2,2,126,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.05,0.05,0.00,0.05,Matches
103,Scott Dann,eng ENG,DF,Crystal Palace,32,1987,16,14,"1,266",0,1,0,0,0,0,0.00,0.07,0.07,0.00,0.07,0.4,0.4,0.5,0.03,0.03,0.06,0.03,0.06,Matches
104,Kevin Danso,at AUT,DF,Southampton,20,1998,6,3,277,0,1,0,0,2,1,0.00,0.32,0.32,0.00,0.32,0.1,0.1,0.2,0.03,0.07,0.10,0.03,0.10,Matches
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Ben Davies,wal WAL,DF,Tottenham,26,1993,18,16,"1,431",0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.6,0.01,0.04,0.06,0.01,0.06,Matches
107,Tom Davies,eng ENG,MF,Everton,21,1998,30,23,"2,027",1,0,0,0,8,0,0.04,0.00,0.04,0.04,0.04,1.9,1.9,0.3,0.08,0.01,0.10,0.08,0.10,Matches
108,Keinan Davis,eng ENG,FW,Aston Villa,21,1998,18,4,548,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.9,1.9,0.2,0.32,0.04,0.35,0.32,0.35,Matches
109,Craig Dawson,eng ENG,DF,Watford,29,1990,29,26,"2,361",2,0,0,0,6,0,0.08,0.00,0.08,0.08,0.08,2.2,2.2,0.3,0.08,0.01,0.10,0.08,0.10,Matches
110,Kevin De Bruyne,be BEL,MF,Manchester City,28,1991,35,32,"2,791",13,20,2,2,3,0,0.42,0.64,1.06,0.35,1.00,7.6,6.1,18.4,0.25,0.59,0.84,0.20,0.79,Matches
111,Troy Deeney,eng ENG,FW,Watford,31,1988,27,26,"2,225",10,2,5,6,3,0,0.40,0.08,0.49,0.20,0.28,9.9,5.3,3.4,0.40,0.14,0.54,0.21,0.35,Matches
112,Fabian Delph,eng ENG,MF,Everton,29,1989,16,13,"1,190",0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.01,0.02,0.03,0.01,0.03,Matches
113,Leander Dendoncker,be BEL,"MF,DF",Wolves,24,1995,38,32,"2,795",4,0,0,0,5,0,0.13,0.00,0.13,0.13,0.13,1.7,1.7,0.6,0.05,0.02,0.07,0.05,0.07,Matches
114,Gerard Deulofeu,es ESP,FW,Watford,25,1994,28,25,"2,098",4,5,1,1,3,0,0.17,0.21,0.39,0.13,0.34,5.2,4.5,4.6,0.22,0.20,0.42,0.19,0.39,Matches
115,Eric Dier,eng ENG,"DF,MF",Tottenham,25,1994,19,15,"1,344",0,2,0,0,5,0,0.00,0.13,0.13,0.00,0.13,1.0,1.0,0.1,0.07,0.01,0.07,0.07,0.07,Matches
116,Lucas Digne,fr FRA,DF,Everton,26,1993,35,35,"3,030",0,7,0,0,6,0,0.00,0.21,0.21,0.00,0.21,1.5,1.5,5.7,0.04,0.17,0.21,0.04,0.21,Matches
117,Virgil van Dijk,nl NED,DF,Liverpool,28,1991,38,38,"3,420",5,1,0,0,1,0,0.13,0.03,0.16,0.13,0.16,2.8,2.8,1.3,0.07,0.03,0.11,0.07,0.11,Matches
118,Issa Diop,fr FRA,DF,West Ham,22,1997,32,31,"2,766",3,1,0,0,8,0,0.10,0.03,0.13,0.10,0.13,1.5,1.5,0.8,0.05,0.03,0.08,0.05,0.08,Matches
119,Moussa Djenepo,ml MLI,"MF,DF",Southampton,21,1998,18,10,928,2,2,0,0,4,1,0.19,0.19,0.39,0.19,0.39,2.5,2.5,1.3,0.24,0.12,0.37,0.24,0.37,Matches
120,Matt Doherty,ie IRL,DF,Wolves,27,1992,36,32,"2,839",4,3,0,0,1,0,0.13,0.10,0.22,0.13,0.22,5.1,5.1,1.7,0.16,0.05,0.22,0.16,0.22,Matches
121,Abdoulaye Doucouré,fr FRA,MF,Watford,26,1993,37,36,"3,156",4,2,0,0,9,0,0.11,0.06,0.17,0.11,0.17,5.0,5.0,2.6,0.14,0.08,0.22,0.14,0.22,Matches
122,Thomas Doyle,eng ENG,"MF,FW",Manchester City,17,2001,1,0,16,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.46,0.00,0.46,0.46,0.46,Matches
123,Danny Drinkwater,eng ENG,MF,Burnley,29,1990,1,1,58,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
124,Danny Drinkwater,eng ENG,MF,Aston Villa,29,1990,4,4,259,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.03,0.01,0.04,0.03,0.04,Matches
125,Josip Drmić,ch SUI,"FW,MF",Norwich City,26,1992,21,5,647,1,0,0,0,0,1,0.14,0.00,0.14,0.14,0.14,2.6,2.6,0.4,0.36,0.06,0.42,0.36,0.42,Matches
126,Martin Dúbravka,sk SVK,GK,Newcastle Utd,30,1989,38,38,"3,420",0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
127,Ondrej Duda,sk SVK,MF,Norwich City,24,1994,10,9,724,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,1.0,0.10,0.13,0.23,0.10,0.23,Matches
128,Shane Duffy,ie IRL,DF,Brighton,27,1992,19,12,"1,238",1,0,0,0,2,0,0.07,0.00,0.07,0.07,0.07,1.5,1.5,0.0,0.11,0.00,0.11,0.11,0.11,Matches
129,Paul Dummett,wal WAL,DF,Newcastle Utd,27,1991,16,14,"1,228",0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches
130,Lewis Dunk,eng ENG,DF,Brighton,27,1991,36,36,"3,230",3,3,0,0,9,0,0.08,0.08,0.17,0.08,0.17,4.2,4.2,1.1,0.12,0.03,0.15,0.12,0.15,Matches
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
